inst_id,status,confirmed_candle_count,hit_count,highest_multiple,highest_multiple_time_cn,first_hit_time_cn_10x,event_index,event_time_cn,event_multiple,previous_amplitude_percent,previous_change_percent,previous_volume,hit_amplitude_percent,hit_change_percent,hit_volume,volume_multiple,threshold_price,hit_close_vs_threshold_percent,hit_close_above_threshold,next_candle_change_percent,next_candle_time_cn,next_candle_high_vs_threshold_multiple,next_candle_high_vs_threshold_percent
BAT-USDT-SWAP,ok,12421,1,10.772790,2020-12-18 16:00:00,2020-12-18 16:00:00,1,2020-12-18 16:00:00,10.772790,1.138852,1.095050,5905.000000,12.268618,7.791649,76797.000000,13.005419,0.258756,-3.229125,false,-2.108194,2020-12-18 20:00:00,1.000558,0.055828
BCH-USDT-SWAP,ok,13886,1,15.608365,2024-03-02 08:00:00,2024-03-02 08:00:00,1,2024-03-02 08:00:00,15.608365,1.989092,1.507860,287623.000000,31.046475,27.600379,7797437.000000,27.109922,378.614982,6.599057,true,-2.576809,2024-03-02 12:00:00,1.103232,10.323157
BEAT-USDT-SWAP,ok,1006,1,17.903119,2025-11-20 20:00:00,2025-11-20 20:00:00,1,2025-11-20 20:00:00,17.903119,10.354142,9.467787,4036432.000000,185.371426,29.630036,27116740.000000,6.717997,1.106944,-35.933547,false,31.397989,2025-11-21 00:00:00,0.858173,-14.182680
BERA-USDT-SWAP,ok,2681,1,13.294010,2026-04-04 16:00:00,2026-04-04 16:00:00,1,2026-04-04 16:00:00,13.294010,2.020202,1.207194,14047875.000000,26.856586,20.720721,515453785.000000,36.692652,0.489170,1.355420,true,-14.888037,2026-04-04 20:00:00,1.016416,1.641619
BICO-USDT-SWAP,ok,9614,1,10.265857,2023-11-15 12:00:00,2023-11-15 12:00:00,1,2023-11-15 12:00:00,10.265857,2.498078,1.306687,1098135.000000,25.644917,17.374810,39263133.000000,35.754377,0.329249,-6.028667,false,-3.878474,2023-11-15 16:00:00,0.947306,-5.269364
BIGTIME-USDT-SWAP,ok,5579,0,7.999417,2023-12-01 08:00:00,,,,,,,,,,,,,,
BIO-USDT-SWAP,ok,2886,1,10.200301,2025-10-20 12:00:00,2025-10-20 12:00:00,1,2025-10-20 12:00:00,10.200301,4.621447,1.050872,34733514.000000,47.140156,25.265895,401709058.000000,11.565460,0.123187,-13.951741,false,0.622407,2025-10-20 16:00:00,0.918119,-8.188131
BLUR-USDT-SWAP,ok,7016,0,8.876429,2023-06-27 12:00:00,,,,,,,,,,,,,,
BMNR-USDT-SWAP,ok,11,0,0.331737,2026-04-28 00:00:00,,,,,,,,,,,,,,
BNB-USDT-SWAP,ok,7339,0,3.759167,2024-01-11 04:00:00,,,,,,,,,,,,,,
BOME-USDT-SWAP,ok,3732,0,5.850134,2026-04-19 20:00:00,,,,,,,,,,,,,,
BONK-USDT-SWAP,ok,5053,0,8.722106,2024-02-28 16:00:00,,,,,,,,,,,,,,
BRETT-USDT-SWAP,ok,3600,0,7.548861,2025-12-02 20:00:00,,,,,,,,,,,,,,
BREV-USDT-SWAP,ok,719,0,6.911839,2026-02-01 08:00:00,,,,,,,,,,,,,,
BSB-USDT-SWAP,ok,162,0,4.587816,2026-04-21 00:00:00,,,,,,,,,,,,,,
BTC-USDT-SWAP,ok,13957,0,6.900225,2020-04-23 20:00:00,,,,,,,,,,,,,,
BZ-USDT-SWAP,ok,216,0,2.384348,2026-04-13 04:00:00,,,,,,,,,,,,,,
CC-USDT-SWAP,ok,1079,0,4.807952,2025-12-24 04:00:00,,,,,,,,,,,,,,
CELO-USDT-SWAP,ok,10068,1,22.702977,2022-03-17 08:00:00,2022-03-17 08:00:00,1,2022-03-17 08:00:00,22.702977,2.276680,1.335968,178052.000000,51.687410,23.167258,4438559.000000,24.928442,3.118036,1.246432,true,-1.827742,2022-03-17 12:00:00,1.081193,8.119348
