bar,inst_id,hit_time_cn,hit_ts,multiple,previous_amplitude_percent,previous_change_percent,volume_multiple,threshold_price,hit_open,hit_high,hit_low,hit_close,next_candle_time_cn,next_candle_change_percent,next_open,next_high,next_low,next_close,next_high_vs_threshold_percent,next_high_vs_threshold_multiple,next_low_vs_threshold_percent,next_low_vs_threshold_multiple,next_close_vs_threshold_percent,next_close_vs_threshold_multiple,next_low_below_threshold,next_close_below_threshold,data_completeness
4H,PROVE-USDT-SWAP,2026-03-26 04:00:00,1774468800000,20.576204,3.225806,2.572479,61.013394,0.301765,0.251300,0.387500,0.220700,0.306900,2026-03-26 08:00:00,-7.847607,0.307100,0.318900,0.278700,0.283000,5.678429,1.056784,,,,,,,full_ohlc
4H,QTUM-USDT-SWAP,2025-01-31 20:00:00,1738324800000,12.470386,2.518363,1.539000,231.403187,3.619333,2.904000,3.800000,2.888000,3.573000,2025-02-01 00:00:00,-7.052897,3.573000,3.605000,3.295000,3.321000,-0.396002,0.996040,,,,,,,full_ohlc
4H,QTUM-USDT-SWAP,2025-12-13 08:00:00,1765584000000,10.511108,1.361032,1.074499,103.495961,1.601178,1.412000,1.611000,1.409000,1.487000,2025-12-13 12:00:00,3.362475,1.487000,1.556000,1.479000,1.537000,-2.821526,0.971785,,,,,,,full_ohlc
4H,RAY-USDT-SWAP,2025-03-19 04:00:00,1742328000000,10.403484,2.417637,1.071026,22.754275,1.984262,1.613400,2.000000,1.594200,1.946700,2025-03-19 08:00:00,-0.508553,1.946700,2.099800,1.862100,1.936800,5.822739,1.058227,,,,,,,full_ohlc
4H,RAY-USDT-SWAP,2026-04-26 08:00:00,1777161600000,10.912827,2.238257,1.281107,166.946360,0.840847,0.687800,0.854900,0.686900,0.825500,2026-04-26 12:00:00,-8.109091,0.825000,0.876100,0.737300,0.758100,4.192523,1.041925,,,,,,,full_ohlc
4H,RLS-USDT-SWAP,2026-02-02 20:00:00,1770033600000,12.129985,2.397787,1.183523,45.110295,0.008157,0.006591,0.008494,0.006577,0.007755,2026-02-03 00:00:00,-9.957491,0.007763,0.009270,0.006932,0.006990,13.639412,1.136394,,,,,,,full_ohlc
4H,RVN-USDT-SWAP,2026-03-17 08:00:00,1773705600000,10.301309,1.970443,1.460239,101.271836,0.006899,0.005769,0.006933,0.005762,0.006377,2026-03-17 12:00:00,-1.082013,0.006377,0.006607,0.006244,0.006308,-4.229010,0.957710,,,,,,,full_ohlc
4H,SOON-USDT-SWAP,2025-11-15 00:00:00,1763136000000,15.483736,6.383341,2.356587,4.028610,3.327066,2.041260,4.041600,2.024060,3.705490,2025-11-15 04:00:00,-26.079917,3.705610,5.633720,2.300000,2.739190,69.329977,1.693300,,,,,,,full_ohlc
4H,SOON-USDT-SWAP,2025-11-18 20:00:00,1763467200000,14.128879,4.785708,1.180426,3.464928,1.840526,1.248730,2.087270,1.242920,1.474330,2025-11-19 00:00:00,-4.397595,1.473760,1.575760,1.240260,1.408950,-14.385334,0.856147,,,,,,,full_ohlc
4H,SOON-USDT-SWAP,2026-04-17 12:00:00,1776398400000,10.362209,8.349267,2.103250,21.955507,0.292055,0.160200,0.296900,0.158300,0.262200,2026-04-17 16:00:00,-16.863792,0.262100,0.262600,0.203800,0.217900,-10.085509,0.899145,,,,,,,full_ohlc
