inst_id,status,confirmed_candle_count,hit_count,highest_multiple,highest_multiple_time_cn,first_hit_time_cn_10x,event_index,event_time_cn,event_multiple,previous_amplitude_percent,previous_change_percent,previous_volume,hit_amplitude_percent,hit_change_percent,hit_volume,volume_multiple,threshold_price,hit_close_vs_threshold_percent,hit_close_above_threshold,next_candle_change_percent,next_candle_time_cn,next_candle_open,next_candle_high,next_candle_low,next_candle_close,next_candle_close_vs_threshold_multiple,next_candle_close_vs_threshold_percent,next_candle_close_below_threshold,next_candle_low_vs_threshold_multiple,next_candle_low_vs_threshold_percent,next_candle_low_below_threshold,next_candle_high_vs_threshold_multiple,next_candle_high_vs_threshold_percent
B3_USDT,ok,9999,1,11.027813,2025-10-26 14:00:00,2025-10-26 14:00:00,1,2025-10-26 14:00:00,11.027813,1.362862,1.192504,4362.000000,15.029387,3.442485,75481.000000,17.304218,0.002699,-8.694538,false,-3.119935,2025-10-26 15:00:00,0.002468,0.002474,0.002358,0.002391,0.886004,-11.399610,true,0.873775,-12.622451,true,0.916760,-8.323980
BABA_USDT,ok,2253,0,1.366585,2026-04-24 11:00:00,,,,,,,,,,,,,,,,,,,,
BANANAS31_USDT,ok,9741,1,11.278685,2025-07-11 09:00:00,2025-07-11 09:00:00,1,2025-07-11 09:00:00,11.278685,8.934051,5.760431,55751.000000,100.764351,32.416113,252549.000000,4.529946,0.074070,-29.834185,false,-1.013111,2025-07-11 10:00:00,0.052018,0.054114,0.050020,0.051491,0.695164,-30.483568,true,0.675305,-32.469520,true,0.730577,-26.942336
BANANA_USDT,ok,9999,1,16.144399,2025-03-12 02:00:00,2025-03-12 02:00:00,1,2025-03-12 02:00:00,16.144399,3.663614,1.498751,63209.000000,59.146842,49.958983,2767981.000000,43.790932,16.645945,9.816535,true,-2.297593,2025-03-12 03:00:00,18.280000,19.300000,17.360000,17.860000,1.072934,7.293398,false,1.042897,4.289663,false,1.159442,15.944153
BANK_USDT,ok,9036,0,7.235838,2025-09-14 23:00:00,,,,,,,,,,,,,,,,,,,,
BAN_USDT,ok,9999,0,7.557765,2025-04-11 11:00:00,,,,,,,,,,,,,,,,,,,,
BAS_USDT,ok,5921,0,9.449487,2025-10-31 22:00:00,,,,,,,,,,,,,,,,,,,,
BA_USDT,ok,1393,0,1.031690,2026-04-02 12:00:00,,,,,,,,,,,,,,,,,,,,
BB_USDT,ok,9999,1,10.912462,2025-07-11 11:00:00,2025-07-11 11:00:00,1,2025-07-11 11:00:00,10.912462,2.338644,1.215278,33218.000000,25.520362,15.213675,281641.000000,8.478566,0.122708,-6.623712,false,1.753771,2025-07-11 12:00:00,0.114040,0.120200,0.110490,0.116040,0.945661,-5.433894,true,0.900432,-9.956833,true,0.979563,-2.043727
BEAMX_USDT,ok,9995,1,12.211885,2026-01-26 08:00:00,2026-01-26 08:00:00,1,2026-01-26 08:00:00,12.211885,1.476945,1.116715,280926.000000,18.036286,11.704020,1922131.000000,6.842126,0.003226,-2.670948,false,9.815169,2026-01-26 09:00:00,0.003138,0.003500,0.003120,0.003446,1.068140,6.813985,false,0.967091,-3.290878,true,1.084878,8.487797
BEL_USDT,ok,9999,1,14.808205,2026-01-10 16:00:00,2026-01-10 16:00:00,1,2026-01-10 16:00:00,14.808205,1.273885,1.061571,43530.000000,18.863955,12.482468,925378.000000,21.258397,0.160766,-0.227415,false,-5.911637,2026-01-10 17:00:00,0.160700,0.161400,0.150300,0.151200,0.940500,-5.950032,true,0.934901,-6.509853,true,1.003946,0.394609
BE_USDT,ok,144,0,0.849636,2026-04-30 07:00:00,,,,,,,,,,,,,,,,,,,,
