inst_id,status,confirmed_candle_count,hit_count,highest_multiple,highest_multiple_time_cn,first_hit_time_cn_10x,event_index,event_time_cn,event_multiple,previous_amplitude_percent,previous_change_percent,previous_volume,hit_amplitude_percent,hit_change_percent,hit_volume,volume_multiple,next_candle_change_percent,next_candle_time_cn
BAND-USDT-SWAP,ok,24999,1,13.365489,2026-04-17 19:00:00,2026-04-17 19:00:00,1,2026-04-17 19:00:00,13.365489,2.678571,2.295918,508775.000000,35.800416,28.399168,14523177.000000,28.545383,-21.488673,2026-04-17 20:00:00
BARD-USDT-SWAP,ok,5343,0,5.804654,2026-04-07 20:00:00,,,,,,,,,,,
BASED-USDT-SWAP,ok,713,0,9.772280,2026-04-21 13:00:00,,,,,,,,,,,
BAT-USDT-SWAP,ok,24999,0,6.129038,2024-01-03 08:00:00,,,,,,,,,,,
BCH-USDT-SWAP,ok,24999,0,7.198077,2023-06-30 10:00:00,,,,,,,,,,,
BEAT-USDT-SWAP,ok,4019,1,14.050851,2025-11-20 21:00:00,2025-11-20 21:00:00,1,2025-11-20 21:00:00,14.050851,11.654603,8.009797,3374769.000000,163.757084,58.213651,12169347.000000,3.605979,-16.613949,2025-11-20 22:00:00
BERA-USDT-SWAP,ok,10717,0,9.183545,2026-02-07 02:00:00,,,,,,,,,,,
BICO-USDT-SWAP,ok,24999,0,9.433486,2024-03-02 21:00:00,,,,,,,,,,,
BIGTIME-USDT-SWAP,ok,22311,1,14.993211,2025-08-29 08:00:00,2025-08-29 08:00:00,1,2025-08-29 08:00:00,14.993211,1.656278,1.228851,132379.000000,24.832923,16.074569,28842976.000000,217.881809,-1.258148,2025-08-29 09:00:00
BIO-USDT-SWAP,ok,11537,1,12.866548,2025-04-17 15:00:00,2025-04-17 15:00:00,1,2025-04-17 15:00:00,12.866548,2.096956,1.014656,8971668.000000,26.980585,17.451462,147076608.000000,16.393452,11.096333,2025-04-17 16:00:00
BLUR-USDT-SWAP,ok,24999,0,8.741725,2024-11-12 02:00:00,,,,,,,,,,,
BMNR-USDT-SWAP,ok,37,0,1.304308,2026-04-29 00:00:00,,,,,,,,,,,
BNB-USDT-SWAP,ok,24999,0,3.127527,2025-04-10 01:00:00,,,,,,,,,,,
BOME-USDT-SWAP,ok,14922,0,8.443548,2026-04-19 23:00:00,,,,,,,,,,,
BONK-USDT-SWAP,ok,20206,0,6.917129,2024-11-20 10:00:00,,,,,,,,,,,
BRETT-USDT-SWAP,ok,14394,0,8.029958,2025-04-14 01:00:00,,,,,,,,,,,
BREV-USDT-SWAP,ok,2871,0,5.109500,2026-02-01 08:00:00,,,,,,,,,,,
BSB-USDT-SWAP,ok,642,0,3.974612,2026-04-23 19:00:00,,,,,,,,,,,
BTC-USDT-SWAP,ok,24999,0,3.742096,2025-04-10 01:00:00,,,,,,,,,,,
BZ-USDT-SWAP,ok,858,0,1.234464,2026-04-08 22:00:00,,,,,,,,,,,
CC-USDT-SWAP,ok,4310,0,3.659409,2026-01-30 03:00:00,,,,,,,,,,,
CELO-USDT-SWAP,ok,24999,0,9.188156,2024-05-08 22:00:00,,,,,,,,,,,
CFX-USDT-SWAP,ok,24999,0,5.144047,2025-04-10 01:00:00,,,,,,,,,,,
CHIP-USDT-SWAP,ok,182,0,1.951407,2026-04-23 08:00:00,,,,,,,,,,,
CHZ-USDT-SWAP,ok,24999,0,5.823068,2025-12-20 11:00:00,,,,,,,,,,,
CL-USDT-SWAP,ok,1336,0,2.462397,2026-04-02 20:00:00,,,,,,,,,,,
