bar,inst_id,hit_time_cn,hit_ts,multiple,previous_amplitude_percent,previous_change_percent,volume_multiple,threshold_price,hit_open,hit_high,hit_low,hit_close,next_candle_time_cn,next_candle_change_percent,next_open,next_high,next_low,next_close,next_high_vs_threshold_percent,next_high_vs_threshold_multiple,next_low_vs_threshold_percent,next_low_vs_threshold_multiple,next_close_vs_threshold_percent,next_close_vs_threshold_multiple,next_low_below_threshold,next_close_below_threshold,data_completeness
1H,MAGIC-USDT-SWAP,2025-10-13 18:00:00,1760349600000,10.564780,2.687241,1.407603,10.083240,0.170455,0.134730,0.172500,0.134250,0.169840,2025-10-13 19:00:00,-7.828238,,,,,,,,,,,,,partial_only
1H,MAGIC-USDT-SWAP,2025-12-09 06:00:00,1765231200000,17.579424,1.800310,1.117434,32.622798,0.114964,0.097730,0.128300,0.097370,0.110630,2025-12-09 07:00:00,-1.889180,,,,,,,,,,,,,partial_only
1H,MMT-USDT-SWAP,2026-04-05 20:00:00,1775390400000,12.767179,2.604167,1.475694,33.323054,0.146769,0.117000,0.155200,0.116300,0.152000,2026-04-05 21:00:00,-0.329164,,,,,,,,,,,,,partial_only
1H,MON-USDT-SWAP,2025-11-05 05:00:00,1762290000000,11.886970,7.461977,2.281369,23.020977,0.073944,0.043010,0.080000,0.041850,0.052460,2025-11-05 06:00:00,0.838574,,,,,,,,,,,,,partial_only
1H,MOODENG-USDT-SWAP,2025-12-07 05:00:00,1765054800000,37.123805,4.935386,3.409403,28.868414,0.109319,0.075210,0.210000,0.072200,0.086900,2025-12-07 06:00:00,0.897583,,,,,,,,,,,,,partial_only
1H,MOVE-USDT-SWAP,2025-12-14 17:00:00,1765702800000,12.198819,1.956746,1.441813,71.383795,0.047026,0.039380,0.048720,0.039320,0.046240,2025-12-14 18:00:00,-0.324746,,,,,,,,,,,,,partial_only
1H,MOVE-USDT-SWAP,2026-02-12 16:00:00,1770883200000,10.303326,2.567508,1.328021,10.665518,0.028732,0.022870,0.028910,0.022860,0.024630,2026-02-12 17:00:00,0.487211,,,,,,,,,,,,,partial_only
1H,MUBARAK-USDT-SWAP,2026-01-01 03:00:00,1767207600000,14.830529,2.374840,1.861361,83.602865,0.019676,0.015900,0.021500,0.015900,0.020440,2026-01-01 04:00:00,-10.958904,,,,,,,,,,,,,partial_only
1H,OL-USDT-SWAP,2026-04-17 00:00:00,1776355200000,13.456109,3.681134,1.305808,62.103045,0.011073,0.008150,0.012110,0.008073,0.009552,2026-04-17 01:00:00,3.892153,,,,,,,,,,,,,partial_only
1H,ONT-USDT-SWAP,2025-01-13 08:00:00,1736726400000,13.176737,1.420811,1.295445,124.790660,0.274855,0.242500,0.285800,0.240400,0.278000,2025-01-13 09:00:00,-3.058654,,,,,,,,,,,,,partial_only
1H,ONT-USDT-SWAP,2026-03-30 08:00:00,1774828800000,21.788531,2.684336,1.783894,15.283584,0.074362,0.059910,0.093320,0.058280,0.074760,2026-03-30 09:00:00,-0.990099,,,,,,,,,,,,,partial_only
1H,ORDER-USDT-SWAP,2025-10-24 14:00:00,1761285600000,29.436617,2.324580,1.033147,35.701419,0.287958,0.234700,0.394000,0.233400,0.290400,2025-10-24 15:00:00,7.098553,,,,,,,,,,,,,partial_only
1H,ORDI-USDT-SWAP,2023-11-07 14:00:00,1699336800000,11.553174,2.926433,1.381927,13.488677,9.622605,7.489000,9.963000,7.431000,9.633000,2023-11-07 15:00:00,12.297466,,,,,,,,,,,,,partial_only
1H,PEOPLE-USDT-SWAP,2025-04-20 14:00:00,1745128800000,12.783327,3.140496,1.983471,21.933120,0.016202,0.012330,0.017280,0.012330,0.016940,2025-04-20 15:00:00,-22.314050,,,,,,,,,,,,,partial_only
1H,PEOPLE-USDT-SWAP,2025-11-08 00:00:00,1762531200000,11.071413,4.934823,3.445065,14.116019,0.016583,0.011110,0.017170,0.011100,0.016880,2025-11-08 01:00:00,-13.913558,,,,,,,,,,,,,partial_only
1H,PIEVERSE-USDT-SWAP,2025-11-21 02:00:00,1763661600000,10.962980,8.330417,4.515226,4.064354,0.547046,0.298600,0.571000,0.298300,0.515500,2025-11-21 03:00:00,-3.295212,,,,,,,,,,,,,partial_only
1H,PUMP-USDT-SWAP,2026-04-29 05:00:00,1777410000000,10.845965,1.223582,1.001112,38.644733,0.002011,0.001816,0.002030,0.001789,0.001824,2026-04-29 06:00:00,2.303895,,,,,,,,,,,,,partial_only
1H,RENDER-USDT-SWAP,2024-12-05 11:00:00,1733367600000,10.504466,3.748343,2.518983,31.136404,11.689216,8.503000,11.850000,8.502000,10.929000,2024-12-05 12:00:00,-11.057208,,,,,,,,,,,,,partial_only
1H,RESOLV-USDT-SWAP,2025-07-11 14:00:00,1752213600000,12.511919,2.803738,1.059190,15.319060,0.207377,0.162200,0.218800,0.161900,0.215900,2025-07-11 15:00:00,14.967563,,,,,,,,,,,,,partial_only
1H,ROBO-USDT-SWAP,2026-03-18 11:00:00,1773802800000,11.809799,2.274270,1.357773,13.448978,0.036651,0.029860,0.037880,0.029860,0.032600,2026-03-18 12:00:00,-4.906470,,,,,,,,,,,,,partial_only
1H,SHELL-USDT-SWAP,2026-02-27 03:00:00,1772132400000,13.276971,1.701980,1.632511,198.482955,0.034304,0.029340,0.035940,0.029310,0.031350,2026-02-27 04:00:00,-3.125000,,,,,,,,,,,,,partial_only
